,LB,BOLE,MOOB,ARF,ARFre,FU-LB,FU-ARF,FU-ARFre,OALE,CALMID
210,0.934373298,0.86798895,0.790357645,0.903865868,0.890228469,0.885071679,0.853767737,0.80665976,0.861461329,0.923428335
211,0.9356042,0.865993749,0.795588136,0.893522816,0.899266772,0.882689577,0.857771474,0.817703823,0.855980769,0.922005502
212,0.936548995,0.873287566,0.828876311,0.895395931,0.90735686,0.889699429,0.867890108,0.839303326,0.864016563,0.927899751
213,0.946891366,0.865250691,0.841242048,0.913279055,0.910935922,0.890253626,0.877088684,0.833863293,0.875871329,0.935739135
214,0.957199368,0.880004204,0.883449714,0.929809908,0.932535826,0.916817982,0.91247148,0.875927742,0.901540484,0.960551778
215,0.924512533,0.850886102,0.848427447,0.909690658,0.909388443,0.888742389,0.893844604,0.859967745,0.882748504,0.939556266
216,0.893189648,0.847664608,0.812607808,0.86167862,0.86147075,0.865017429,0.85887164,0.838439147,0.856127349,0.911877547
217,0.788614085,0.75487083,0.738841709,0.658317604,0.615858923,0.772186672,0.773148169,0.75902538,0.75538229,0.847235062
218,0.727741056,0.727087313,0.709663877,0.706849682,0.687955517,0.716560965,0.707044853,0.669275499,0.714430988,0.807345924
219,0.722544804,0.713522768,0.631176474,0.662193032,0.686167557,0.69663466,0.63443328,0.632044292,0.655266818,0.786196435
220,0.761230559,0.722564024,0.633707866,0.70411731,0.695012894,0.681175786,0.621892165,0.608898763,0.660716708,0.790573055
