,LB,BOLE,MOOB,ARF,ARFre,RVU-LB,VU-ARF,VU-ARFre,OALE,CALMID
815,0.717389341,0.693697162,0.719384936,0.699288645,0.70634876,0.693315283,0.717073322,0.718775982,0.699722953,0.718080045
816,0.73114235,0.715131288,0.732565666,0.727097304,0.728004937,0.712856644,0.731266133,0.732520305,0.716289827,0.73140921
817,0.695860122,0.707684982,0.728722126,0.662720141,0.658673453,0.662479914,0.671378343,0.654519118,0.689771018,0.716389362
818,0.722329137,0.70791628,0.732457595,0.699437395,0.7028406,0.680169892,0.680439019,0.687467933,0.698894057,0.720987811
819,0.722100884,0.709698494,0.721689949,0.704690326,0.708983097,0.708711183,0.701860566,0.702341157,0.708983476,0.721991712
820,0.722196548,0.707944649,0.721321949,0.706633108,0.711498793,0.704636261,0.707330122,0.710007974,0.707099701,0.721875703
821,0.722196854,0.70372684,0.722088646,0.706937095,0.717552781,0.705364689,0.709889788,0.7115992,0.705864689,0.722157164
822,0.728439479,0.677072613,0.731181573,0.692820939,0.719437161,0.704102747,0.720248754,0.721879008,0.697815753,0.726003487
823,0.744918608,0.662279368,0.76145185,0.698386538,0.730109893,0.685181273,0.708112343,0.739022899,0.693438669,0.751625621
824,0.722219501,0.71117459,0.721612671,0.708624379,0.710606062,0.70162335,0.693626596,0.696461446,0.703630112,0.721647838
825,0.722222222,0.7092954,0.721481971,0.714980005,0.715884621,0.707783758,0.701664876,0.706772326,0.708029247,0.722045658
826,0.711933835,0.687341296,0.742740468,0.705807063,0.710826517,0.69843554,0.713642788,0.719897973,0.689718219,0.710931313
827,0.728097267,0.712418077,0.732798711,0.704416779,0.714528876,0.681415022,0.68252561,0.681256115,0.697273212,0.727396139
828,0.709476922,0.677113257,0.76227862,0.71712268,0.742623648,0.706425086,0.717733161,0.722420043,0.704307287,0.745804542
829,0.691056911,0.664910998,0.704505664,0.687798483,0.711297499,0.679294714,0.682623874,0.675729758,0.694496777,0.690117857
