,LB,BOLE,MOOB,ARF,ARFre,RVU-LB,SS-ARF,FU-ARFre,OALE,CALMID
358,0.83244734,0.830821764,0.827667702,0.829110299,0.830694929,0.824345863,0.803150316,0.804244863,0.81818575,0.827039917
359,0.84107277,0.827991837,0.827515825,0.844710767,0.843186277,0.833110789,0.82211044,0.823104846,0.828764678,0.84167378
360,0.837683358,0.791302344,0.836475859,0.838542833,0.837554372,0.834407114,0.820778854,0.82856376,0.824428227,0.841595137
361,0.839741237,0.782850923,0.835821033,0.844379369,0.842920818,0.831703534,0.821387147,0.837962636,0.822207476,0.842336538
362,0.843833301,0.822854448,0.845851293,0.843233777,0.846300834,0.826572624,0.828312674,0.832817081,0.828292898,0.838895
363,0.843615036,0.83777954,0.842947338,0.849627149,0.850403925,0.834173137,0.831123606,0.831424857,0.832271256,0.84281752
364,0.82396339,0.825176278,0.833835456,0.825094839,0.828712915,0.824190604,0.807776488,0.813956194,0.811312942,0.831793428
365,0.844885772,0.840329718,0.832828498,0.838935085,0.837112327,0.827173997,0.807024781,0.824357649,0.809768318,0.832807525
366,0.836898775,0.845224855,0.833603932,0.841563181,0.84448286,0.82246395,0.806301731,0.813757154,0.816915969,0.836156256
367,0.84228699,0.841759882,0.826764637,0.845297751,0.84413157,0.823241827,0.817362646,0.824060806,0.826220254,0.844901599
368,0.827318717,0.828959526,0.817804497,0.830845261,0.827690683,0.81897864,0.807770999,0.811583948,0.806783865,0.835142996
369,0.847137717,0.825136503,0.828909444,0.842813906,0.841406586,0.829980831,0.815971956,0.825467471,0.818762188,0.84346469
370,0.845906093,0.823904995,0.825433902,0.836231762,0.843827516,0.837151311,0.81559798,0.827928619,0.827463581,0.84073697
371,0.853001184,0.839713574,0.830009805,0.849058585,0.848957718,0.840603816,0.819951166,0.827813124,0.837347252,0.846614061
372,0.852530237,0.836080972,0.831371108,0.851431538,0.852970422,0.841534465,0.82910169,0.836917852,0.833680642,0.85028068
373,0.84969263,0.84208362,0.835288967,0.843086541,0.850717342,0.842567863,0.82993647,0.834522167,0.835369677,0.848981128
374,0.849436679,0.842187196,0.833082288,0.843040815,0.848129617,0.845289831,0.834531199,0.838148696,0.83415506,0.850390125
