,LB,BOLE,MOOB,ARF,ARFre,SS-LB,FU-ARF,FU-ARFre,OALE,CALMID
78,0.99945014,0.999440742,0.998531337,0.999715483,0.999701444,0.998532521,0.99941331,0.999330335,0.994473758,0.999688454
79,0.996141656,0.998397931,0.998687585,0.99932573,0.999547179,0.996962276,0.99855915,0.998770289,0.992751823,0.998955121
80,0.999305706,0.999139058,0.998187293,0.99990244,0.999774745,0.997225346,0.999171038,0.999710146,0.992802062,0.999894089
81,0.991767092,0.992432349,0.998252158,0.999130668,0.998877273,0.995250081,0.998337516,0.999558093,0.982305157,0.99867713
82,0.999103169,0.99926152,0.997885567,0.999771043,0.999584893,0.998577212,0.999605153,0.998275845,0.992151613,0.999792824
83,0.999731719,0.999835711,0.99527453,0.999853258,0.999728396,0.997862876,0.999411782,0.999701183,0.990954692,0.99970774
84,0.998943035,0.998887701,0.997044835,0.999706839,0.99965931,0.997848805,0.999302945,0.998581807,0.988278104,0.999480927
85,0.999221075,0.998880467,0.998834042,0.998428019,0.999376959,0.997352961,0.998475481,0.995657004,0.990071133,0.998865951
86,0.999612674,0.999339586,0.99862161,0.995327454,0.999681224,0.998784169,0.99760253,0.991165246,0.991840736,0.99885586
87,0.999574253,0.99922346,0.999581182,0.999664327,0.999810466,0.998581245,0.999614388,0.999644513,0.994115979,0.999786314
88,0.999772006,0.999900256,0.999595414,0.999903999,0.99952937,0.999401277,0.99948566,0.999755095,0.993913893,0.999771442
89,0.999547097,0.998101191,0.99877456,0.999413007,0.99903763,0.994335687,0.998613983,0.998233003,0.982912004,0.998311467
90,0.999458611,0.999689344,0.998964106,0.999789875,0.999751098,0.998587171,0.99942487,0.999575115,0.990238679,0.999679559
91,0.999142633,0.996519814,0.999337744,0.999196934,0.998627896,0.997224641,0.998972518,0.999577164,0.990450192,0.999401315
92,0.999750347,0.999792423,0.999638632,0.999808106,0.999715279,0.998188473,0.999774492,0.999763545,0.98981649,0.999874246
93,0.993617235,0.989901625,0.99079575,0.996450661,0.994125003,0.99092086,0.991669559,0.989355272,0.982455532,0.993253259
94,0.983350517,0.985435955,0.981548927,0.993396627,0.9963681,0.983008866,0.990420454,0.983708924,0.969523689,0.988256164
95,0.992757962,0.994199849,0.99313807,0.996831029,0.99832036,0.993287642,0.994867308,0.997221732,0.981344449,0.995513441
96,0.972784909,0.980287761,0.981036822,0.987157968,0.983073172,0.966726875,0.976543706,0.975495434,0.935762227,0.976478238
97,0.982269511,0.98274598,0.982132204,0.932020222,0.965484401,0.965284036,0.978004101,0.980566071,0.943015779,0.978154743
98,0.96575468,0.964526041,0.956378681,0.868583656,0.799256296,0.946645698,0.959357758,0.960512119,0.909806781,0.97278802
99,0.946513512,0.904315464,0.942995055,0.909271951,0.858209053,0.926978098,0.936832234,0.93730729,0.882871959,0.959759971
100,0.904577849,0.73344444,0.889260106,0.897848442,0.849365921,0.870589143,0.850851152,0.856239793,0.81552851,0.934752858
101,0.888970004,0.773713512,0.860158883,0.890865515,0.845415419,0.843785208,0.719566604,0.647069098,0.778581864,0.917662612
102,0.879049351,0.802010433,0.840127966,0.88786074,0.843351768,0.823561082,0.636024855,0.581473232,0.757168288,0.910702807
103,0.87531094,0.778220612,0.80083048,0.887341164,0.853088619,0.802702506,0.639140587,0.592653614,0.740886683,0.898630745
104,0.861537352,0.773329958,0.79070522,0.882908378,0.856351217,0.798614041,0.651031986,0.591350783,0.741818947,0.891134997
105,0.891048043,0.813536724,0.832662045,0.901682034,0.875740803,0.808591648,0.693468408,0.637626326,0.74150676,0.905779951
106,0.896593067,0.820672103,0.815340161,0.912112518,0.896539486,0.825978136,0.729070577,0.667748637,0.772448814,0.911505167
107,0.906357243,0.837750421,0.831420342,0.906525511,0.892441288,0.828402288,0.734594188,0.701095912,0.769053181,0.912492217
108,0.896200129,0.830669659,0.824309803,0.918174961,0.894875487,0.832405336,0.742426544,0.707704808,0.759373044,0.911807856
109,0.900626354,0.821691013,0.827889336,0.901430407,0.90882669,0.82933355,0.766519295,0.735433483,0.755019528,0.911749317
110,0.916739992,0.833582426,0.851280438,0.920385955,0.917045713,0.85681114,0.780829109,0.75121828,0.769995529,0.924180268
111,0.918816087,0.848199288,0.862437568,0.928604432,0.912386738,0.859090953,0.788519059,0.723412886,0.780102552,0.924830473
112,0.91321164,0.830284701,0.866964418,0.929855463,0.913739204,0.848191373,0.802235522,0.745666649,0.768159184,0.923789701
113,0.908415369,0.825765625,0.863036952,0.92751342,0.914089398,0.852903037,0.810849784,0.780570721,0.775745145,0.919257296
114,0.924443578,0.851798685,0.879148471,0.939069001,0.921412856,0.864337955,0.836480447,0.78623381,0.781096326,0.92902343
115,0.916403942,0.841750644,0.861701251,0.927887989,0.920294138,0.856904191,0.835883935,0.802864136,0.775582203,0.921624132
116,0.92638246,0.872606555,0.881127054,0.940988666,0.929260593,0.874778921,0.851184411,0.822809895,0.795090146,0.930986724
117,0.928505427,0.865232783,0.87806132,0.942678723,0.93142846,0.870125716,0.846199485,0.826703734,0.794772383,0.933823739
118,0.939203897,0.870115164,0.894803258,0.949441868,0.938822732,0.8847558,0.859125357,0.840557988,0.809789563,0.942205406
119,0.931408146,0.862392011,0.870772748,0.935743958,0.933903675,0.875999258,0.860147212,0.842770528,0.790267187,0.930997668
120,0.937325962,0.866174729,0.889595251,0.93764879,0.938078142,0.875910662,0.862976828,0.841109717,0.792536357,0.933929122
121,0.944524116,0.872052864,0.889371603,0.948448228,0.94302177,0.878317507,0.87324512,0.860500521,0.807494841,0.93674428
122,0.934984266,0.873047017,0.876974779,0.941822316,0.935399741,0.869674114,0.859592458,0.837764883,0.793349401,0.933501384
123,0.937642013,0.889899688,0.887269537,0.949616073,0.939147978,0.884435808,0.872250516,0.842057237,0.804809127,0.945169023
124,0.94622078,0.886205128,0.894165753,0.946205668,0.939268647,0.890368894,0.880217211,0.85600347,0.809265571,0.943999513
125,0.940907756,0.880605145,0.883288171,0.944466128,0.941226447,0.878069203,0.878570197,0.866269684,0.797591321,0.938171166
126,0.952535553,0.885911731,0.891523854,0.956440052,0.952098317,0.894423726,0.880537523,0.863706618,0.81653682,0.947829422
127,0.943241421,0.890739133,0.890962632,0.949125232,0.937727916,0.886901528,0.877439211,0.856687308,0.802147453,0.941142281
128,0.95514887,0.901121252,0.892610235,0.954838466,0.950143236,0.896920707,0.891819682,0.87779419,0.810465578,0.948790011
129,0.952417064,0.907344301,0.896528888,0.949847969,0.952084485,0.895950865,0.892471387,0.885056733,0.812059109,0.946782585
