,LB,BOLE,MOOB,ARF,ARFre,VU-LB,VU-ARF,VU-ARFre,OALE,CALMID
203,0.977907199,0.909868477,0.90027616,0.940744009,0.944313635,0.925436399,0.902030435,0.894758849,0.92335029,0.962674033
204,0.977957149,0.92443144,0.904132364,0.950463613,0.957974809,0.936782396,0.909828713,0.914644088,0.928975215,0.965767191
205,0.983556586,0.93204795,0.918007209,0.965319556,0.958380165,0.944214001,0.927025718,0.910305123,0.936795772,0.972100698
206,0.972797699,0.924104375,0.902298573,0.957640399,0.952812425,0.934524108,0.915995031,0.914007975,0.920314973,0.964684732
207,0.972214785,0.917546375,0.902656465,0.962435823,0.960310661,0.935919676,0.915550864,0.921748258,0.927680895,0.966051907
208,0.983570794,0.924885815,0.923290577,0.955657022,0.955074522,0.939611835,0.921090936,0.916658739,0.930401179,0.972140352
209,0.981369239,0.933080669,0.924746556,0.962593013,0.965456348,0.944806136,0.930865448,0.928005301,0.933862193,0.976319871
210,0.981381952,0.929359095,0.922799513,0.965285784,0.965654595,0.936178636,0.926360991,0.933195177,0.930679894,0.971623716
211,0.984983531,0.923780471,0.931497833,0.962811116,0.96373028,0.94171714,0.930091608,0.9319665,0.930105719,0.976574186
212,0.97931054,0.913467139,0.922625885,0.963056269,0.964893183,0.929812036,0.92094883,0.924222169,0.919422573,0.971452625
213,0.987432411,0.922906869,0.928004222,0.972412299,0.977415075,0.945666041,0.936333709,0.933938954,0.934494882,0.978587801
214,0.983371928,0.921695831,0.933282838,0.97209916,0.975293027,0.939044862,0.937504848,0.937249771,0.917736126,0.978845343
215,0.978497618,0.918329364,0.928795025,0.971228226,0.972842417,0.937864447,0.929247196,0.935904864,0.919545515,0.972645894
216,0.986757335,0.930384563,0.94295501,0.968411087,0.974524273,0.955690302,0.940284263,0.930695198,0.929846814,0.98187385
217,0.989534223,0.923124475,0.938022236,0.973490727,0.97736461,0.958215998,0.940776246,0.941641932,0.926301556,0.979274469
218,0.98437705,0.92591441,0.944739271,0.976122311,0.975006507,0.95535235,0.937227209,0.938405226,0.925294408,0.980877567
219,0.988764494,0.927995525,0.953784488,0.974075394,0.972382364,0.962689848,0.94142649,0.947761535,0.928206382,0.983804492
220,0.99160859,0.928461509,0.951991712,0.981769697,0.983986584,0.96949383,0.957524397,0.956910858,0.938381665,0.987093957
