,LB,BOLE,MOOB,ARF,ARFre,VU-LB,FU-ARF,SS-ARFre,OALE,CALMID
224,0.960733409,0.966953249,0.917297078,0.897242293,0.892648846,0.922274453,0.816376952,0.838023206,0.890188752,0.963588983
225,0.97300982,0.96918665,0.934538543,0.913770643,0.90641537,0.937679976,0.823518313,0.850475264,0.891149662,0.975580173
226,0.976571847,0.969217662,0.944519199,0.923049389,0.909127915,0.938940688,0.836276116,0.864019406,0.903787117,0.970689855
227,0.980343032,0.975693815,0.959764166,0.938757606,0.92931085,0.953207791,0.8808632,0.888012297,0.929336368,0.976476944
228,0.974800425,0.973815367,0.964074015,0.942825017,0.940206573,0.94737076,0.888475476,0.88864957,0.923655672,0.973360558
229,0.949991238,0.960116638,0.942790956,0.930909675,0.938206613,0.923032767,0.879699467,0.880907289,0.911439053,0.955844234
230,0.923266073,0.957539176,0.918475371,0.921855023,0.933010138,0.907942576,0.86280801,0.86560037,0.898347612,0.939342153
231,0.953785329,0.979666849,0.955425077,0.950071681,0.957842537,0.949250106,0.904479622,0.909552276,0.932780818,0.966251737
232,0.960741699,0.977448092,0.975351366,0.962900907,0.966580794,0.95821696,0.920365418,0.927558403,0.938003621,0.970609518
233,0.978752189,0.987556405,0.98618481,0.980073678,0.976016812,0.975344998,0.938059431,0.946685902,0.955184627,0.985856046
234,0.980500421,0.989071658,0.986942113,0.980609383,0.981539298,0.972450114,0.946339917,0.950628178,0.95925922,0.985337975
235,0.984861428,0.991037373,0.989242037,0.989105931,0.986421184,0.980769618,0.958324237,0.961515933,0.963195951,0.99131542
236,0.99212236,0.9938556,0.989082612,0.988860938,0.986266802,0.983134578,0.963431497,0.967160578,0.963679446,0.99317622
237,0.990571224,0.992700407,0.990308098,0.987354261,0.98738347,0.981319103,0.967516795,0.972669599,0.969554673,0.991154914
238,0.989783388,0.992504771,0.988432589,0.990588901,0.989563456,0.981677172,0.967310612,0.970419677,0.964040207,0.991164526
239,0.989190919,0.993318782,0.989142162,0.985928069,0.98879264,0.981465078,0.970941295,0.97138577,0.964546271,0.992251226
240,0.993237938,0.993316409,0.98960745,0.990924623,0.990311276,0.985676496,0.9731191,0.973006052,0.968394507,0.994013097
241,0.994472913,0.994834296,0.993142206,0.991230006,0.990052475,0.98565254,0.970790007,0.97629076,0.963818995,0.996018515
242,0.994096439,0.994387908,0.989164741,0.988118046,0.990269233,0.982021549,0.969170363,0.973086043,0.961121818,0.99422114
243,0.993596695,0.989539354,0.99048078,0.990529996,0.988758241,0.984877935,0.973104073,0.975134481,0.962099641,0.993261816
244,0.995833785,0.996028239,0.993827508,0.991902392,0.990098008,0.9883075,0.97802168,0.97880599,0.97077906,0.995206996
245,0.995735986,0.994316876,0.990632841,0.990237049,0.992289403,0.98943367,0.977479515,0.978213428,0.972384431,0.995823099
246,0.996412386,0.995339616,0.993469929,0.994653165,0.993002653,0.989929074,0.981762418,0.98581131,0.978393364,0.996982607
247,0.99380944,0.993193475,0.989251763,0.986270291,0.990053157,0.987160367,0.976967768,0.977798196,0.967903051,0.994875839
248,0.994345341,0.993089173,0.991142337,0.990134525,0.989285466,0.990030571,0.97687568,0.981035476,0.968314913,0.995600399
249,0.992013349,0.986679573,0.983604161,0.985493443,0.987510833,0.983490151,0.970907665,0.969884698,0.957404549,0.992629329
250,0.988681119,0.987237022,0.986830166,0.983301745,0.984629436,0.98170713,0.967494438,0.968058472,0.958799921,0.990859066
251,0.983445513,0.983064669,0.982962605,0.962000044,0.933536739,0.9748628,0.956603145,0.960872975,0.947256882,0.984890842
252,0.980377549,0.984960693,0.977989398,0.920316851,0.88298893,0.978921332,0.95002782,0.954447222,0.952435777,0.988014819
253,0.982415679,0.978836927,0.972807481,0.880539895,0.912612182,0.976670038,0.941440368,0.943517019,0.945324092,0.987681037
254,0.983455,0.980161316,0.970819341,0.897791104,0.909629477,0.971645356,0.934740554,0.933292836,0.946611493,0.987724786
255,0.985648927,0.979751502,0.972225879,0.903220913,0.910188339,0.970501141,0.925316947,0.91436857,0.948997942,0.985205204
256,0.984531219,0.980863333,0.965741593,0.913044218,0.917033501,0.975858759,0.921499734,0.906267277,0.942590605,0.98573847
257,0.979415512,0.979020295,0.966092616,0.922771446,0.921919131,0.971218395,0.926638815,0.89983225,0.942607522,0.982029133
258,0.986722212,0.986169793,0.974839969,0.931621898,0.936590341,0.978914633,0.929768174,0.905016976,0.953727266,0.989299301
259,0.983399987,0.982222806,0.963669772,0.93181553,0.939740501,0.96937728,0.920701902,0.889854088,0.942521995,0.986258906
260,0.987113107,0.989355541,0.97503983,0.936745515,0.944053415,0.978848431,0.926786048,0.905462332,0.95535349,0.990120245
261,0.986378212,0.984080113,0.966562197,0.933596244,0.931740506,0.973934235,0.927900538,0.901186156,0.944138271,0.987222877
262,0.984042861,0.984509645,0.971020538,0.933134476,0.950279225,0.979120331,0.93057116,0.916534787,0.957429214,0.987293651
263,0.987689817,0.981950047,0.969265945,0.949792052,0.944951422,0.978187297,0.932036711,0.917940184,0.955338645,0.988779761
