,LB,BOLE,MOOB,ARF,ARFre,SS-LB,VU-ARF,VU-ARFre,OALE,CALMID
1335,0.856962703,0.859392653,0.857187728,0.856881624,0.85645238,0.852872065,0.852752548,0.836560599,0.850467963,0.85736393
1336,0.844889131,0.84823411,0.846852199,0.847171801,0.847406567,0.840486147,0.845607721,0.839524359,0.842927748,0.846501059
1337,0.847678762,0.848378203,0.847013026,0.847399284,0.848351138,0.842306138,0.847818117,0.847242094,0.845747229,0.847646827
1338,0.841363065,0.817173457,0.843869611,0.847620214,0.84832644,0.775742147,0.848211443,0.847007676,0.829763655,0.772833034
1339,0.84791049,0.838515617,0.847587242,0.847566616,0.848400673,0.831506731,0.848469873,0.848402427,0.842127917,0.833726595
1340,0.848464097,0.8461009,0.848095093,0.84784804,0.848238008,0.843307237,0.848483662,0.848343812,0.846965362,0.846537802
1341,0.848059066,0.847844285,0.848090835,0.848197694,0.848213302,0.846222224,0.848469971,0.84836925,0.84746209,0.848261922
1342,0.846817894,0.846953078,0.848244997,0.848358542,0.84808282,0.84323707,0.848480864,0.848409301,0.847469497,0.847832844
1343,0.848091229,0.84777208,0.848202352,0.848484848,0.848264874,0.843849909,0.848429135,0.848373178,0.84707371,0.847836737
1344,0.848142372,0.848153359,0.847042009,0.848483222,0.848280886,0.844766339,0.848294805,0.847702154,0.846009974,0.84795186
1345,0.848082997,0.848108393,0.847542062,0.848465705,0.848419173,0.843389089,0.848161102,0.848051724,0.845732607,0.847810794
1346,0.848481788,0.848484848,0.848209476,0.848483457,0.848470632,0.845468754,0.848402654,0.848399977,0.846835121,0.848115482
1347,0.84788532,0.848484848,0.860320885,0.856765572,0.856432595,0.84677066,0.853398512,0.852629692,0.856701701,0.859597669
1348,0.847690064,0.847597389,0.848049662,0.848473517,0.848468337,0.846355305,0.848407481,0.848484848,0.847224599,0.847602626
1349,0.848484848,0.848484848,0.848194001,0.848416278,0.848464424,0.847819227,0.848361471,0.84848064,0.846968773,0.84827524
1350,0.848452785,0.848482468,0.848195686,0.848479588,0.84848293,0.847478363,0.848454698,0.848481654,0.847916568,0.847811013
1351,0.846741242,0.847778711,0.848087165,0.848468237,0.848345379,0.843159559,0.848298612,0.848341924,0.846903391,0.84451844
1352,0.846513349,0.848477196,0.846761754,0.848469205,0.848379609,0.84722917,0.848412179,0.848445632,0.845835318,0.845616443
1353,0.848484848,0.848484848,0.848210446,0.848484848,0.848368172,0.848378461,0.84847189,0.848484848,0.847135934,0.847672178
1354,0.847819693,0.848481548,0.848225553,0.848482043,0.848484848,0.848236241,0.848478555,0.848484848,0.847204214,0.846974112
1355,0.845980629,0.847413773,0.848356512,0.848481788,0.848484848,0.84686729,0.848479821,0.848484848,0.846791396,0.846353299
1356,0.850247772,0.851058749,0.857600451,0.858674215,0.858684704,0.846416375,0.854341468,0.852229259,0.852048782,0.848826747
1357,0.864897773,0.86581595,0.873787062,0.875570004,0.877922706,0.832147431,0.873537714,0.876971893,0.861969186,0.844383532
1358,0.88061982,0.879073703,0.850472294,0.876681075,0.882099853,0.838833232,0.855328969,0.862123609,0.853966303,0.862986681
1359,0.884203207,0.885095179,0.83551518,0.881789943,0.875971697,0.871239992,0.835964752,0.840795085,0.862335853,0.878825475
1360,0.845075168,0.846873943,0.816219974,0.86671436,0.855591135,0.773065648,0.767891278,0.771949919,0.824229264,0.826404696
1361,0.878113112,0.881546709,0.841929577,0.877936279,0.877965529,0.833427705,0.807289192,0.792857438,0.835621338,0.864251014
1362,0.884483314,0.884177814,0.863534972,0.88278171,0.881383127,0.869853462,0.858674213,0.862845529,0.859474545,0.879136258
1363,0.884210084,0.88527888,0.873817292,0.881107418,0.881924352,0.876932226,0.868424112,0.876638161,0.868778691,0.878572053
1364,0.884824918,0.885632386,0.877250508,0.882756225,0.87762303,0.873618574,0.873494078,0.868533082,0.871868996,0.877079095
1365,0.884704025,0.88588335,0.877294377,0.884124264,0.88408004,0.876483002,0.879453372,0.873635799,0.874062221,0.880129515
1366,0.870048365,0.872955341,0.864921096,0.869996219,0.871572959,0.86609348,0.868422559,0.854082912,0.862240894,0.864663725
1367,0.867014128,0.871371801,0.865303056,0.872851654,0.872821745,0.858362279,0.867248809,0.86587941,0.857648008,0.864891847
1368,0.871987856,0.872489039,0.864221525,0.872166219,0.871927999,0.863907899,0.868152975,0.871503023,0.861420745,0.871201387
1369,0.865052527,0.872405811,0.863808077,0.871641025,0.872167407,0.863619901,0.867528338,0.869177985,0.859872619,0.868547022
1370,0.867292423,0.868642126,0.860803637,0.871893234,0.870866251,0.852966784,0.866328389,0.867323306,0.858014046,0.862374386
1371,0.864696914,0.872843337,0.862441759,0.869583277,0.868179497,0.860699583,0.866405038,0.868920904,0.86155554,0.867340408
1372,0.862666036,0.871824912,0.86520954,0.870656363,0.866725104,0.863900946,0.867967394,0.868228261,0.865009561,0.86789423
1373,0.855485234,0.859203805,0.856339097,0.858872644,0.855018578,0.852872359,0.856936338,0.858670109,0.853457538,0.856447926
1374,0.846464825,0.8476665,0.844348258,0.845989348,0.845301925,0.841382563,0.845692409,0.846708977,0.842721054,0.842338568
1375,0.857724941,0.86043973,0.857897882,0.858399387,0.859030733,0.856194752,0.858783848,0.859198935,0.855170268,0.85815256
1376,0.849390043,0.858816206,0.85721938,0.858494141,0.85704618,0.851654286,0.853665953,0.855974966,0.849051736,0.852606006
1377,0.85667143,0.860323027,0.85701112,0.860088907,0.858619654,0.853058196,0.855858848,0.858689152,0.85226296,0.856433431
1378,0.85143812,0.849890227,0.856176936,0.850114731,0.849740467,0.850389684,0.853597524,0.857196638,0.852327728,0.850574972
1379,0.866498408,0.871789877,0.869074528,0.870585602,0.871637007,0.857714917,0.869837722,0.871428212,0.864329573,0.866727918
1380,0.866754109,0.871932799,0.87153912,0.872913542,0.873159911,0.859964501,0.871743615,0.871271218,0.86579937,0.867447272
1381,0.870610672,0.870754321,0.870716118,0.872761966,0.872656803,0.852715801,0.871281698,0.870621668,0.86593545,0.859508025
1382,0.868462877,0.872913608,0.863433275,0.872840503,0.872999829,0.86047505,0.870056392,0.869613335,0.864788666,0.8661774
1383,0.870432649,0.872987514,0.86338927,0.872276216,0.872693704,0.865069699,0.870915002,0.871079459,0.864538646,0.868814892
1384,0.863355581,0.872130294,0.864536168,0.872188225,0.872635708,0.854138148,0.868410135,0.86911564,0.859831132,0.863453536
1385,0.865878788,0.869554334,0.861611612,0.872577426,0.872683979,0.856166213,0.868870169,0.867900379,0.859842243,0.866716536
1386,0.869081187,0.869416974,0.863624793,0.870552811,0.871424349,0.8619153,0.868080665,0.867294136,0.859943305,0.86330989
1387,0.865360015,0.870856994,0.865308057,0.870199196,0.869983614,0.857109238,0.86410984,0.860174044,0.857236231,0.861580786
1388,0.869734858,0.870122419,0.863408737,0.87104974,0.872003204,0.865615518,0.862597194,0.857834571,0.861024881,0.866749357
1389,0.833817863,0.824157686,0.833436226,0.855866092,0.854942002,0.78148695,0.798028874,0.796677756,0.817804633,0.82145673
1390,0.793846655,0.781597703,0.848553389,0.816957931,0.811020893,0.720326621,0.770096256,0.774286143,0.818830081,0.784489515
1391,0.813645908,0.798545864,0.811302758,0.815682913,0.81488001,0.786023206,0.793405385,0.790541586,0.789205589,0.809288881
1392,0.821223067,0.821470071,0.833860727,0.831826446,0.834083381,0.820114572,0.814307735,0.806756516,0.817680619,0.829047659
1393,0.828149753,0.844178793,0.842307265,0.841903161,0.842139696,0.835634125,0.833970901,0.832328661,0.834399513,0.837940413
1394,0.837944713,0.846066484,0.845114145,0.843292391,0.846204982,0.841522552,0.845489773,0.842928837,0.838510601,0.844340262
1395,0.832795261,0.833153611,0.835688753,0.833767265,0.834723925,0.830668259,0.833643979,0.832543028,0.823298451,0.831667373
